AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP;;;;;;;;;;;
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;
COMBUSTÍVEL: TODOS;;;;;;;;;;;
TIPO RELATÓRIO: ESTADOS;;;;OBS: ATUALMENTE, O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
;;;;;;;;;;;
DATA INICIAL;DATA FINAL;REGIAO;ESTADOS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
24/08/2025;30/08/2025;NORDESTE;ALAGOAS;GNV;6;R$/m³;4,59;0,000;4,59;4,59;0,000
24/08/2025;30/08/2025;NORTE;AMAZONAS;GNV;1;R$/m³;4,59;0,000;4,59;4,59;0,000
24/08/2025;30/08/2025;NORDESTE;BAHIA;GNV;15;R$/m³;4,12;0,480;3,99;5,79;0,116
24/08/2025;30/08/2025;NORDESTE;CEARA;GNV;8;R$/m³;5,11;0,106;4,85;5,15;0,021
24/08/2025;30/08/2025;SUDESTE;ESPIRITO SANTO;GNV;10;R$/m³;4,28;0,125;4,09;4,49;0,029
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO;GNV;1;R$/m³;4,05;0,000;4,05;4,05;0,000
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO DO SUL;GNV;1;R$/m³;4,59;0,000;4,59;4,59;0,000
24/08/2025;30/08/2025;SUDESTE;MINAS GERAIS;GNV;10;R$/m³;5,16;0,328;4,29;5,39;0,064
24/08/2025;30/08/2025;NORDESTE;PARAIBA;GNV;8;R$/m³;4,86;0,163;4,85;5,21;0,034
24/08/2025;30/08/2025;SUL;PARANA;GNV;3;R$/m³;4,69;0,087;4,54;4,69;0,019
24/08/2025;30/08/2025;NORDESTE;PERNAMBUCO;GNV;17;R$/m³;4,39;0,000;4,39;4,39;0,000
24/08/2025;30/08/2025;SUDESTE;RIO DE JANEIRO;GNV;154;R$/m³;4,38;0,433;3,97;6,28;0,099
24/08/2025;30/08/2025;NORDESTE;RIO GRANDE DO NORTE;GNV;5;R$/m³;5,19;0,045;5,09;5,19;0,009
24/08/2025;30/08/2025;SUL;RIO GRANDE DO SUL;GNV;10;R$/m³;4,84;0,194;4,69;5,34;0,040
24/08/2025;30/08/2025;SUL;SANTA CATARINA;GNV;29;R$/m³;4,84;0,186;4,59;5,29;0,038
24/08/2025;30/08/2025;SUDESTE;SAO PAULO;GNV;58;R$/m³;4,59;0,285;4,09;5,29;0,062
24/08/2025;30/08/2025;NORDESTE;SERGIPE;GNV;1;R$/m³;4,69;0,000;4,69;4,69;0,000
24/08/2025;30/08/2025;NORTE;ACRE;OLEO DIESEL;5;R$/l;8,17;0,009;8,17;8,19;0,001
24/08/2025;30/08/2025;NORDESTE;ALAGOAS;OLEO DIESEL;2;R$/l;6,02;0,467;5,69;6,35;0,078
24/08/2025;30/08/2025;NORTE;AMAPA;OLEO DIESEL;5;R$/l;6,39;0,091;6,30;6,48;0,014
24/08/2025;30/08/2025;NORTE;AMAZONAS;OLEO DIESEL;16;R$/l;6,49;0,025;6,49;6,59;0,004
24/08/2025;30/08/2025;NORDESTE;BAHIA;OLEO DIESEL;43;R$/l;5,94;0,352;5,59;6,75;0,059
24/08/2025;30/08/2025;NORDESTE;CEARA;OLEO DIESEL;8;R$/l;6,05;0,374;5,59;6,69;0,062
24/08/2025;30/08/2025;CENTRO OESTE;DISTRITO FEDERAL;OLEO DIESEL;21;R$/l;6,05;0,147;5,87;6,28;0,024
24/08/2025;30/08/2025;SUDESTE;ESPIRITO SANTO;OLEO DIESEL;26;R$/l;5,91;0,138;5,79;6,39;0,023
24/08/2025;30/08/2025;CENTRO OESTE;GOIAS;OLEO DIESEL;66;R$/l;5,92;0,296;5,49;7,06;0,050
24/08/2025;30/08/2025;NORDESTE;MARANHAO;OLEO DIESEL;33;R$/l;5,88;0,340;5,54;6,69;0,058
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO;OLEO DIESEL;39;R$/l;6,29;0,242;5,79;6,89;0,038
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO DO SUL;OLEO DIESEL;21;R$/l;6,03;0,493;5,64;7,29;0,082
24/08/2025;30/08/2025;SUDESTE;MINAS GERAIS;OLEO DIESEL;80;R$/l;5,87;0,204;5,45;6,49;0,035
24/08/2025;30/08/2025;NORTE;PARA;OLEO DIESEL;41;R$/l;6,38;0,470;5,58;7,24;0,074
24/08/2025;30/08/2025;NORDESTE;PARAIBA;OLEO DIESEL;18;R$/l;5,59;0,199;5,45;6,29;0,036
24/08/2025;30/08/2025;SUL;PARANA;OLEO DIESEL;92;R$/l;5,90;0,254;5,49;6,77;0,043
24/08/2025;30/08/2025;NORDESTE;PERNAMBUCO;OLEO DIESEL;3;R$/l;5,97;0,214;5,59;5,97;0,036
24/08/2025;30/08/2025;NORDESTE;PIAUI;OLEO DIESEL;21;R$/l;5,92;0,141;5,64;6,24;0,024
24/08/2025;30/08/2025;SUDESTE;RIO DE JANEIRO;OLEO DIESEL;98;R$/l;6,00;0,355;5,42;6,99;0,059
24/08/2025;30/08/2025;NORDESTE;RIO GRANDE DO NORTE;OLEO DIESEL;26;R$/l;6,02;0,433;5,69;6,99;0,072
24/08/2025;30/08/2025;SUL;RIO GRANDE DO SUL;OLEO DIESEL;151;R$/l;6,06;0,312;5,49;7,14;0,051
24/08/2025;30/08/2025;NORTE;RONDONIA;OLEO DIESEL;31;R$/l;6,36;0,230;6,09;7,09;0,036
24/08/2025;30/08/2025;NORTE;RORAIMA;OLEO DIESEL;12;R$/l;6,84;0,034;6,80;6,94;0,005
24/08/2025;30/08/2025;SUL;SANTA CATARINA;OLEO DIESEL;55;R$/l;6,09;0,289;5,49;6,73;0,047
24/08/2025;30/08/2025;SUDESTE;SAO PAULO;OLEO DIESEL;384;R$/l;6,04;0,395;5,35;7,99;0,065
24/08/2025;30/08/2025;NORTE;TOCANTINS;OLEO DIESEL;16;R$/l;6,10;0,297;5,49;6,79;0,049
24/08/2025;30/08/2025;NORTE;ACRE;OLEO DIESEL S10;5;R$/l;8,18;0,009;8,17;8,19;0,001
24/08/2025;30/08/2025;NORDESTE;ALAGOAS;OLEO DIESEL S10;9;R$/l;5,84;0,219;5,59;6,29;0,037
24/08/2025;30/08/2025;NORTE;AMAPA;OLEO DIESEL S10;4;R$/l;6,49;0,131;6,32;6,61;0,020
24/08/2025;30/08/2025;NORTE;AMAZONAS;OLEO DIESEL S10;38;R$/l;6,56;0,753;6,49;8,39;0,115
24/08/2025;30/08/2025;NORDESTE;BAHIA;OLEO DIESEL S10;78;R$/l;6,06;0,350;5,68;6,89;0,058
24/08/2025;30/08/2025;NORDESTE;CEARA;OLEO DIESEL S10;81;R$/l;5,84;0,372;5,43;6,79;0,064
24/08/2025;30/08/2025;CENTRO OESTE;DISTRITO FEDERAL;OLEO DIESEL S10;19;R$/l;6,04;0,136;5,87;6,29;0,023
24/08/2025;30/08/2025;SUDESTE;ESPIRITO SANTO;OLEO DIESEL S10;40;R$/l;6,00;0,156;5,76;6,49;0,026
24/08/2025;30/08/2025;CENTRO OESTE;GOIAS;OLEO DIESEL S10;88;R$/l;6,01;0,282;5,59;7,17;0,047
24/08/2025;30/08/2025;NORDESTE;MARANHAO;OLEO DIESEL S10;60;R$/l;5,89;0,360;5,47;6,99;0,061
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO;OLEO DIESEL S10;45;R$/l;6,32;0,231;5,85;6,99;0,037
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO DO SUL;OLEO DIESEL S10;16;R$/l;6,05;0,351;5,68;7,27;0,058
24/08/2025;30/08/2025;SUDESTE;MINAS GERAIS;OLEO DIESEL S10;130;R$/l;5,98;0,223;5,59;6,89;0,037
24/08/2025;30/08/2025;NORTE;PARA;OLEO DIESEL S10;75;R$/l;6,19;0,417;5,49;7,29;0,067
24/08/2025;30/08/2025;NORDESTE;PARAIBA;OLEO DIESEL S10;35;R$/l;5,71;0,172;5,57;6,32;0,030
24/08/2025;30/08/2025;SUL;PARANA;OLEO DIESEL S10;138;R$/l;6,07;0,260;5,49;6,99;0,043
24/08/2025;30/08/2025;NORDESTE;PERNAMBUCO;OLEO DIESEL S10;67;R$/l;5,72;0,293;5,39;6,99;0,051
24/08/2025;30/08/2025;NORDESTE;PIAUI;OLEO DIESEL S10;33;R$/l;6,00;0,212;5,69;6,79;0,035
24/08/2025;30/08/2025;SUDESTE;RIO DE JANEIRO;OLEO DIESEL S10;190;R$/l;6,09;0,338;5,52;7,39;0,055
24/08/2025;30/08/2025;NORDESTE;RIO GRANDE DO NORTE;OLEO DIESEL S10;41;R$/l;6,00;0,448;5,49;6,99;0,075
24/08/2025;30/08/2025;SUL;RIO GRANDE DO SUL;OLEO DIESEL S10;198;R$/l;6,16;0,313;5,49;7,29;0,051
24/08/2025;30/08/2025;NORTE;RONDONIA;OLEO DIESEL S10;33;R$/l;6,38;0,283;5,99;7,29;0,044
24/08/2025;30/08/2025;NORTE;RORAIMA;OLEO DIESEL S10;15;R$/l;6,86;0,027;6,85;6,95;0,004
24/08/2025;30/08/2025;SUL;SANTA CATARINA;OLEO DIESEL S10;107;R$/l;6,13;0,268;5,59;6,83;0,044
24/08/2025;30/08/2025;SUDESTE;SAO PAULO;OLEO DIESEL S10;745;R$/l;6,15;0,458;5,46;9,29;0,074
24/08/2025;30/08/2025;NORDESTE;SERGIPE;OLEO DIESEL S10;3;R$/l;5,86;0,359;5,64;6,28;0,061
24/08/2025;30/08/2025;NORTE;TOCANTINS;OLEO DIESEL S10;25;R$/l;6,07;0,217;5,49;6,47;0,036
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
